2026-04-04 05:03:09,859 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:04:23,944 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:04:42,622 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:04:42,622 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:04:42,842 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:04:42,899 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:04:42,900 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:04:42,901 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:06:35,074 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:07:19,241 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:07:25,817 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:07:25,818 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:07:26,132 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:07:26,239 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:07:26,240 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:07:26,241 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:07:32,699 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:07:32,700 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:07:32,811 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:07:32,869 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:07:32,870 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:07:32,871 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:10:35,106 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:10:48,210 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:10:48,211 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:10:48,479 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:10:48,579 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:10:48,581 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:10:48,581 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:12:58,590 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:14:48,609 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:14:48,610 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:14:48,863 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:14:48,958 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:14:48,960 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:14:48,960 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:17:15,657 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:17:25,564 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:17:25,565 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:17:25,960 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
